Website,Name,Category,Address,Village,Region,Email,Booking link,Phone number
http://www.steinpent.com,Steinpent Hotel,HotelPension,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina","St.Johann, Ahrn 9 / San Giovanni, Ahrn 9",Ahrntal/Valle Aurina,hotel@steinpent.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838F4697C111D1924D00805A150B0B.steinpent-hotel.s--giovanni-st--johann,+39 0474 671766
http://www.schwarzenstein.com,Schwarzenstein Alpin & Spa Resort,HotelPension,"Luttach/Lutago, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Dorfstraße 11,Ahrntal/Valle Aurina,hotel@schwarzenstein.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838D3897C111D1924D00805A150B0B.schwarzenstein-alpin---spa-resort.lutago-luttach,+39 0474 674100
http://www.hochgall.it,Natur Idyll Hochgall,HotelPension,"Rein in Taufers/Riva di Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Oberstatt 90,Ahrntal/Valle Aurina,info@hochgall.it,https://suedtirol.info/en/en/accommodation/pdp-accommodation.BFE65767917511D1AD760020AFF92740.natur-idyll-hochgall.riva-di-tures-rein-in-taufers,+39 0474 672544
http://www.byalfred.net,Pension Bergheimat,HotelPension,"Ahornach/Acereto, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Obergasse 21,Ahrntal/Valle Aurina,bergheimat@byalfred.net,https://suedtirol.info/en/en/accommodation/pdp-accommodation.BFE65720917511D1AD760020AFF92740.pension-bergheimat.acereto-ahornach,+39 0474 690003
http://www.hotel-martinshof.com,Martinshof Hotel,HotelPension,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",St. Martin 23,Ahrntal/Valle Aurina,info@hotel-martinshof.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838EF097C111D1924D00805A150B0B.martinshof-hotel.s--giovanni-st--johann,+39 0474 671406
http://www.villacalluna.com,Residence Villa Calluna,HotelPension,"Sand in Taufers/Campo Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Dr.-Daimer-Str. 21-23,Ahrntal/Valle Aurina,info@villacalluna.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.6E11B86E934011D1AD760020AFF92740.residence-villa-calluna.campo-tures-sand-in-taufers,+39 0474 678038
http://www.ahrntal.it,Frohsinn Pension,HotelPension,"St. Johann/S. Giovanni, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Gisse 106,Ahrntal/Valle Aurina,p.frohsinn@gmail.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838EF697C111D1924D00805A150B0B.frohsinn-pension.s--giovanni-st--johann,+39 347 7481106
http://www.hotel-fronza.com,Fronza Hotel,HotelPension,"Luttach/Lutago, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Via Aurina 37 Ahrner Straße,Ahrntal/Valle Aurina,info@hotel-fronza.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.C5838D4C97C111D1924D00805A150B0B.fronza-hotel.lutago-luttach,+39 0474 671128
http://www.reinerhof.com,Bergchalet Hotel Reinerhof,HotelPension,"Rein in Taufers/Riva di Tures, Sand in Taufers/Campo Tures, Ahrntal/Valle Aurina",Durreck 1,Ahrntal/Valle Aurina,info@reinerhof.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.6E11B828934011D1AD760020AFF92740.bergchalet-hotel-reinerhof.riva-di-tures-rein-in-taufers,+39 0474 672007
http://www.bergrichter.com,Bergrichter Ansitz,HotelPension,"Steinhaus/Cadipietra, Ahrntal/Valle Aurina, Ahrntal/Valle Aurina",Muehlegg 115,Ahrntal/Valle Aurina,info@bergrichter.com,https://suedtirol.info/en/en/accommodation/pdp-accommodation.531C84417C0311D3AF4D00105A6765B5.bergrichter-ansitz.cadipietra-steinhaus,+39 0474 652150
